comparison_scope,component_esto_flow,component_esto_product,current_component_signature,compiled_component_signature,membership_status
esto_extended_leap,03 Exports,16.12 Hydrogen,03 Exports::16.12 Hydrogen,03 Exports::16.12 Hydrogen,unchanged
esto_extended_leap,03 Exports,17 Electricity,03 Exports::17 Electricity,03 Exports::17 Electricity,unchanged
esto_extended_leap,03 Exports,18 Heat,03 Exports::18 Heat,03 Exports::18 Heat,unchanged
esto_extended_leap,04 International marine bunkers,07.01 Motor gasoline,04 International marine bunkers::07.01 Motor gasoline,04 International marine bunkers::07.01 Motor gasoline,unchanged
esto_extended_leap,04 International marine bunkers,07.07 Gas/diesel oil,04 International marine bunkers::07.07 Gas/diesel oil,04 International marine bunkers::07.07 Gas/diesel oil,unchanged
esto_extended_leap,04 International marine bunkers,07.08 Fuel oil,04 International marine bunkers::07.08 Fuel oil,04 International marine bunkers::07.08 Fuel oil,unchanged
esto_extended_leap,04 International marine bunkers,07.09 LPG,04 International marine bunkers::07.09 LPG,04 International marine bunkers::07.09 LPG,unchanged
esto_extended_leap,04 International marine bunkers,07.13 Lubricants,04 International marine bunkers::07.13 Lubricants,04 International marine bunkers::07.13 Lubricants,unchanged
esto_extended_leap,04 International marine bunkers,07.17 Other products,04 International marine bunkers::07.17 Other products,04 International marine bunkers::07.17 Other products,unchanged
esto_extended_leap,04 International marine bunkers,08.01 Natural gas,04 International marine bunkers::08.01 Natural gas,04 International marine bunkers::08.01 Natural gas,unchanged
esto_extended_leap,04 International marine bunkers,08.02 LNG,04 International marine bunkers::08.02 LNG,04 International marine bunkers::08.02 LNG,unchanged
esto_extended_leap,04 International marine bunkers,16.06 Biodiesel,04 International marine bunkers::16.06 Biodiesel,04 International marine bunkers::16.06 Biodiesel,unchanged
esto_extended_leap,04 International marine bunkers,16.10 Ammonia,04 International marine bunkers::16.10 Ammonia,04 International marine bunkers::16.10 Ammonia,unchanged
esto_extended_leap,04 International marine bunkers,16.11 E-fuel,04 International marine bunkers::16.11 E-fuel,04 International marine bunkers::16.11 E-fuel,unchanged
esto_extended_leap,04-05 International transport (bunkers),07.01 Motor gasoline,04-05 International transport (bunkers)::07.01 Motor gasoline,04-05 International transport (bunkers)::07.01 Motor gasoline,unchanged
esto_extended_leap,04-05 International transport (bunkers),07.02 Aviation gasoline,04-05 International transport (bunkers)::07.02 Aviation gasoline,04-05 International transport (bunkers)::07.02 Aviation gasoline,unchanged
esto_extended_leap,04-05 International transport (bunkers),07.05 Kerosene type jet fuel,04-05 International transport (bunkers)::07.05 Kerosene type jet fuel,04-05 International transport (bunkers)::07.05 Kerosene type jet fuel,unchanged
esto_extended_leap,04-05 International transport (bunkers),07.06 Kerosene,04-05 International transport (bunkers)::07.06 Kerosene,04-05 International transport (bunkers)::07.06 Kerosene,unchanged
esto_extended_leap,04-05 International transport (bunkers),07.07 Gas/diesel oil,04-05 International transport (bunkers)::07.07 Gas/diesel oil,04-05 International transport (bunkers)::07.07 Gas/diesel oil,unchanged
esto_extended_leap,04-05 International transport (bunkers),07.08 Fuel oil,04-05 International transport (bunkers)::07.08 Fuel oil,04-05 International transport (bunkers)::07.08 Fuel oil,unchanged
esto_extended_leap,04-05 International transport (bunkers),07.09 LPG,04-05 International transport (bunkers)::07.09 LPG,04-05 International transport (bunkers)::07.09 LPG,unchanged
esto_extended_leap,04-05 International transport (bunkers),07.13 Lubricants,04-05 International transport (bunkers)::07.13 Lubricants,04-05 International transport (bunkers)::07.13 Lubricants,unchanged
esto_extended_leap,04-05 International transport (bunkers),07.17 Other products,04-05 International transport (bunkers)::07.17 Other products,04-05 International transport (bunkers)::07.17 Other products,unchanged
esto_extended_leap,04-05 International transport (bunkers),08.01 Natural gas,04-05 International transport (bunkers)::08.01 Natural gas,04-05 International transport (bunkers)::08.01 Natural gas,unchanged
esto_extended_leap,04-05 International transport (bunkers),08.02 LNG,04-05 International transport (bunkers)::08.02 LNG,04-05 International transport (bunkers)::08.02 LNG,unchanged
esto_extended_leap,04-05 International transport (bunkers),16.06 Biodiesel,04-05 International transport (bunkers)::16.06 Biodiesel,04-05 International transport (bunkers)::16.06 Biodiesel,unchanged
esto_extended_leap,04-05 International transport (bunkers),16.07 Bio jet kerosene,04-05 International transport (bunkers)::16.07 Bio jet kerosene,04-05 International transport (bunkers)::16.07 Bio jet kerosene,unchanged
esto_extended_leap,04-05 International transport (bunkers),16.10 Ammonia,04-05 International transport (bunkers)::16.10 Ammonia,04-05 International transport (bunkers)::16.10 Ammonia,unchanged
esto_extended_leap,04-05 International transport (bunkers),16.11 E-fuel,04-05 International transport (bunkers)::16.11 E-fuel,04-05 International transport (bunkers)::16.11 E-fuel,unchanged
esto_extended_leap,04-05 International transport (bunkers),16.12 Hydrogen,04-05 International transport (bunkers)::16.12 Hydrogen,04-05 International transport (bunkers)::16.12 Hydrogen,unchanged
esto_extended_leap,05 International aviation bunkers,07.01 Motor gasoline,05 International aviation bunkers::07.01 Motor gasoline,05 International aviation bunkers::07.01 Motor gasoline,unchanged
esto_extended_leap,05 International aviation bunkers,07.02 Aviation gasoline,05 International aviation bunkers::07.02 Aviation gasoline,05 International aviation bunkers::07.02 Aviation gasoline,unchanged
esto_extended_leap,05 International aviation bunkers,07.05 Kerosene type jet fuel,05 International aviation bunkers::07.05 Kerosene type jet fuel,05 International aviation bunkers::07.05 Kerosene type jet fuel,unchanged
esto_extended_leap,05 International aviation bunkers,16.07 Bio jet kerosene,05 International aviation bunkers::16.07 Bio jet kerosene,05 International aviation bunkers::16.07 Bio jet kerosene,unchanged
esto_extended_leap,05 International aviation bunkers,16.11 E-fuel,05 International aviation bunkers::16.11 E-fuel,05 International aviation bunkers::16.11 E-fuel,unchanged
esto_extended_leap,05 International aviation bunkers,16.12 Hydrogen,05 International aviation bunkers::16.12 Hydrogen,05 International aviation bunkers::16.12 Hydrogen,unchanged
esto_extended_leap,07 Total primary energy supply,01.01 Coking coal,07 Total primary energy supply::01.01 Coking coal,07 Total primary energy supply::01.01 Coking coal,unchanged
esto_extended_leap,07 Total primary energy supply,01.02 Other bituminous coal,07 Total primary energy supply::01.02 Other bituminous coal,07 Total primary energy supply::01.02 Other bituminous coal,unchanged
esto_extended_leap,07 Total primary energy supply,01.03 Sub-bituminous coal,07 Total primary energy supply::01.03 Sub-bituminous coal,07 Total primary energy supply::01.03 Sub-bituminous coal,unchanged
esto_extended_leap,07 Total primary energy supply,01.04 Anthracite,07 Total primary energy supply::01.04 Anthracite,07 Total primary energy supply::01.04 Anthracite,unchanged
esto_extended_leap,07 Total primary energy supply,01.05 Lignite,07 Total primary energy supply::01.05 Lignite,07 Total primary energy supply::01.05 Lignite,unchanged
esto_extended_leap,07 Total primary energy supply,01.99 Coal nonspecified,07 Total primary energy supply::01.99 Coal nonspecified,07 Total primary energy supply::01.99 Coal nonspecified,unchanged
esto_extended_leap,07 Total primary energy supply,02.01 Coke oven coke,07 Total primary energy supply::02.01 Coke oven coke,07 Total primary energy supply::02.01 Coke oven coke,unchanged
esto_extended_leap,07 Total primary energy supply,02.02 Gas coke,07 Total primary energy supply::02.02 Gas coke,07 Total primary energy supply::02.02 Gas coke,unchanged
esto_extended_leap,07 Total primary energy supply,02.03 Coke oven gas,07 Total primary energy supply::02.03 Coke oven gas,07 Total primary energy supply::02.03 Coke oven gas,unchanged
esto_extended_leap,07 Total primary energy supply,02.04 Blast furnace gas,07 Total primary energy supply::02.04 Blast furnace gas,07 Total primary energy supply::02.04 Blast furnace gas,unchanged
esto_extended_leap,07 Total primary energy supply,02.05 Other recovered gases,07 Total primary energy supply::02.05 Other recovered gases,07 Total primary energy supply::02.05 Other recovered gases,unchanged
esto_extended_leap,07 Total primary energy supply,02.06 Patent fuel,07 Total primary energy supply::02.06 Patent fuel,07 Total primary energy supply::02.06 Patent fuel,unchanged
esto_extended_leap,07 Total primary energy supply,02.07 Coal tar,07 Total primary energy supply::02.07 Coal tar,07 Total primary energy supply::02.07 Coal tar,unchanged
esto_extended_leap,07 Total primary energy supply,02.08 BKB/PB,07 Total primary energy supply::02.08 BKB/PB,07 Total primary energy supply::02.08 BKB/PB,unchanged
esto_extended_leap,07 Total primary energy supply,06.01 Crude oil,07 Total primary energy supply::06.01 Crude oil,07 Total primary energy supply::06.01 Crude oil,unchanged
esto_extended_leap,07 Total primary energy supply,06.02 Natural gas liquids,07 Total primary energy supply::06.02 Natural gas liquids,07 Total primary energy supply::06.02 Natural gas liquids,unchanged
esto_extended_leap,07 Total primary energy supply,06.03 Refinery feedstocks,07 Total primary energy supply::06.03 Refinery feedstocks,07 Total primary energy supply::06.03 Refinery feedstocks,unchanged
esto_extended_leap,07 Total primary energy supply,06.04 Additives/ oxygenates,07 Total primary energy supply::06.04 Additives/ oxygenates,07 Total primary energy supply::06.04 Additives/ oxygenates,unchanged
esto_extended_leap,07 Total primary energy supply,06.05 Other hydrocarbons,07 Total primary energy supply::06.05 Other hydrocarbons,07 Total primary energy supply::06.05 Other hydrocarbons,unchanged
esto_extended_leap,07 Total primary energy supply,07.01 Motor gasoline,07 Total primary energy supply::07.01 Motor gasoline,07 Total primary energy supply::07.01 Motor gasoline,unchanged
esto_extended_leap,07 Total primary energy supply,07.02 Aviation gasoline,07 Total primary energy supply::07.02 Aviation gasoline,07 Total primary energy supply::07.02 Aviation gasoline,unchanged
esto_extended_leap,07 Total primary energy supply,07.03 Naphtha,07 Total primary energy supply::07.03 Naphtha,07 Total primary energy supply::07.03 Naphtha,unchanged
esto_extended_leap,07 Total primary energy supply,07.04 Gasoline type jet fuel,07 Total primary energy supply::07.04 Gasoline type jet fuel,07 Total primary energy supply::07.04 Gasoline type jet fuel,unchanged
esto_extended_leap,07 Total primary energy supply,07.05 Kerosene type jet fuel,07 Total primary energy supply::07.05 Kerosene type jet fuel,07 Total primary energy supply::07.05 Kerosene type jet fuel,unchanged
esto_extended_leap,07 Total primary energy supply,07.06 Kerosene,07 Total primary energy supply::07.06 Kerosene,07 Total primary energy supply::07.06 Kerosene,unchanged
esto_extended_leap,07 Total primary energy supply,07.07 Gas/diesel oil,07 Total primary energy supply::07.07 Gas/diesel oil,07 Total primary energy supply::07.07 Gas/diesel oil,unchanged
esto_extended_leap,07 Total primary energy supply,07.08 Fuel oil,07 Total primary energy supply::07.08 Fuel oil,07 Total primary energy supply::07.08 Fuel oil,unchanged
esto_extended_leap,07 Total primary energy supply,07.09 LPG,07 Total primary energy supply::07.09 LPG,07 Total primary energy supply::07.09 LPG,unchanged
esto_extended_leap,07 Total primary energy supply,07.10 Refinery gas (not liquefied),07 Total primary energy supply::07.10 Refinery gas (not liquefied),07 Total primary energy supply::07.10 Refinery gas (not liquefied),unchanged
esto_extended_leap,07 Total primary energy supply,07.11 Ethane,07 Total primary energy supply::07.11 Ethane,07 Total primary energy supply::07.11 Ethane,unchanged
esto_extended_leap,07 Total primary energy supply,07.12 White spirit SBP,07 Total primary energy supply::07.12 White spirit SBP,07 Total primary energy supply::07.12 White spirit SBP,unchanged
esto_extended_leap,07 Total primary energy supply,07.13 Lubricants,07 Total primary energy supply::07.13 Lubricants,07 Total primary energy supply::07.13 Lubricants,unchanged
esto_extended_leap,07 Total primary energy supply,07.14 Bitumen,07 Total primary energy supply::07.14 Bitumen,07 Total primary energy supply::07.14 Bitumen,unchanged
esto_extended_leap,07 Total primary energy supply,07.15 Paraffin waxes,07 Total primary energy supply::07.15 Paraffin waxes,07 Total primary energy supply::07.15 Paraffin waxes,unchanged
esto_extended_leap,07 Total primary energy supply,07.16 Petroleum coke,07 Total primary energy supply::07.16 Petroleum coke,07 Total primary energy supply::07.16 Petroleum coke,unchanged
esto_extended_leap,07 Total primary energy supply,07.17 Other products,07 Total primary energy supply::07.17 Other products,07 Total primary energy supply::07.17 Other products,unchanged
esto_extended_leap,07 Total primary energy supply,07.99 PetProd nonspecified,07 Total primary energy supply::07.99 PetProd nonspecified,07 Total primary energy supply::07.99 PetProd nonspecified,unchanged
esto_extended_leap,07 Total primary energy supply,08.01 Natural gas,07 Total primary energy supply::08.01 Natural gas,07 Total primary energy supply::08.01 Natural gas,unchanged
esto_extended_leap,07 Total primary energy supply,08.02 LNG,07 Total primary energy supply::08.02 LNG,07 Total primary energy supply::08.02 LNG,unchanged
esto_extended_leap,07 Total primary energy supply,08.03 Gas works gas,07 Total primary energy supply::08.03 Gas works gas,07 Total primary energy supply::08.03 Gas works gas,unchanged
esto_extended_leap,07 Total primary energy supply,09 Nuclear,07 Total primary energy supply::09 Nuclear,07 Total primary energy supply::09 Nuclear,unchanged
esto_extended_leap,07 Total primary energy supply,10 Hydro,07 Total primary energy supply::10 Hydro,07 Total primary energy supply::10 Hydro,unchanged
esto_extended_leap,07 Total primary energy supply,11 Geothermal,07 Total primary energy supply::11 Geothermal,07 Total primary energy supply::11 Geothermal,unchanged
esto_extended_leap,07 Total primary energy supply,12.01 of which: Photovoltaics,07 Total primary energy supply::12.01 of which: Photovoltaics,07 Total primary energy supply::12.01 of which: Photovoltaics,unchanged
esto_extended_leap,07 Total primary energy supply,12.99 Solar nonspecified,07 Total primary energy supply::12.99 Solar nonspecified,07 Total primary energy supply::12.99 Solar nonspecified,unchanged
esto_extended_leap,07 Total primary energy supply,14 Wind,07 Total primary energy supply::14 Wind,07 Total primary energy supply::14 Wind,unchanged
esto_extended_leap,07 Total primary energy supply,15.01 Fuelwood & woodwaste,07 Total primary energy supply::15.01 Fuelwood & woodwaste,07 Total primary energy supply::15.01 Fuelwood & woodwaste,unchanged
esto_extended_leap,07 Total primary energy supply,15.02 Bagasse,07 Total primary energy supply::15.02 Bagasse,07 Total primary energy supply::15.02 Bagasse,unchanged
esto_extended_leap,07 Total primary energy supply,15.03 Charcoal,07 Total primary energy supply::15.03 Charcoal,07 Total primary energy supply::15.03 Charcoal,unchanged
esto_extended_leap,07 Total primary energy supply,15.04 Black liquor,07 Total primary energy supply::15.04 Black liquor,07 Total primary energy supply::15.04 Black liquor,unchanged
esto_extended_leap,07 Total primary energy supply,15.05 Other biomass,07 Total primary energy supply::15.05 Other biomass,07 Total primary energy supply::15.05 Other biomass,unchanged
esto_extended_leap,07 Total primary energy supply,16.01 Biogas,07 Total primary energy supply::16.01 Biogas,07 Total primary energy supply::16.01 Biogas,unchanged
esto_extended_leap,07 Total primary energy supply,16.02 Industrial waste,07 Total primary energy supply::16.02 Industrial waste,07 Total primary energy supply::16.02 Industrial waste,unchanged
esto_extended_leap,07 Total primary energy supply,16.03 Municipal solid waste (renewable),07 Total primary energy supply::16.03 Municipal solid waste (renewable),07 Total primary energy supply::16.03 Municipal solid waste (renewable),unchanged
esto_extended_leap,07 Total primary energy supply,16.04 Municipal solid waste (non-renewable),07 Total primary energy supply::16.04 Municipal solid waste (non-renewable),07 Total primary energy supply::16.04 Municipal solid waste (non-renewable),unchanged
esto_extended_leap,07 Total primary energy supply,16.05 Biogasoline,07 Total primary energy supply::16.05 Biogasoline,07 Total primary energy supply::16.05 Biogasoline,unchanged
esto_extended_leap,07 Total primary energy supply,16.06 Biodiesel,07 Total primary energy supply::16.06 Biodiesel,07 Total primary energy supply::16.06 Biodiesel,unchanged
esto_extended_leap,07 Total primary energy supply,16.07 Bio jet kerosene,07 Total primary energy supply::16.07 Bio jet kerosene,07 Total primary energy supply::16.07 Bio jet kerosene,unchanged
esto_extended_leap,07 Total primary energy supply,16.08 Other liquid biofuels,07 Total primary energy supply::16.08 Other liquid biofuels,07 Total primary energy supply::16.08 Other liquid biofuels,unchanged
esto_extended_leap,07 Total primary energy supply,16.09 Other sources,07 Total primary energy supply::16.09 Other sources,07 Total primary energy supply::16.09 Other sources,unchanged
esto_extended_leap,07 Total primary energy supply,16.10 Ammonia,07 Total primary energy supply::16.10 Ammonia,07 Total primary energy supply::16.10 Ammonia,unchanged
esto_extended_leap,07 Total primary energy supply,16.11 E-fuel,07 Total primary energy supply::16.11 E-fuel,07 Total primary energy supply::16.11 E-fuel,unchanged
esto_extended_leap,07 Total primary energy supply,16.12 Hydrogen,07 Total primary energy supply::16.12 Hydrogen,07 Total primary energy supply::16.12 Hydrogen,unchanged
esto_extended_leap,07 Total primary energy supply,17 Electricity,07 Total primary energy supply::17 Electricity,07 Total primary energy supply::17 Electricity,unchanged
esto_extended_leap,07 Total primary energy supply,18 Heat,07 Total primary energy supply::18 Heat,07 Total primary energy supply::18 Heat,unchanged
