comparison_scope,target_system,target_pair,current_component_signature,compiled_component_signature,component_status
NINTH,NINTH,15_01_02_freight::16_x_ammonia,NINTH:NINTH:15_01_02_freight::16_x_ammonia|NINTH:NINTH:15_03_02_freight::16_x_ammonia|NINTH:NINTH:15_04_02_freight::16_x_ammonia,NINTH:NINTH:15_01_02_freight::16_x_ammonia|NINTH:NINTH:15_03_02_freight::16_x_ammonia|NINTH:NINTH:15_04_02_freight::16_x_ammonia,unchanged
NINTH,NINTH,15_01_02_freight::16_x_efuel,NINTH:NINTH:15_01_02_freight::16_x_efuel|NINTH:NINTH:15_03_02_freight::16_x_efuel|NINTH:NINTH:15_04_02_freight::16_x_efuel,NINTH:NINTH:15_01_02_freight::16_x_efuel|NINTH:NINTH:15_03_02_freight::16_x_efuel|NINTH:NINTH:15_04_02_freight::16_x_efuel,unchanged
NINTH,NINTH,15_01_02_freight::16_x_hydrogen,NINTH:NINTH:15_01_02_freight::16_x_hydrogen|NINTH:NINTH:15_03_02_freight::16_x_hydrogen|NINTH:NINTH:15_04_02_freight::16_x_hydrogen,NINTH:NINTH:15_01_02_freight::16_x_hydrogen|NINTH:NINTH:15_03_02_freight::16_x_hydrogen|NINTH:NINTH:15_04_02_freight::16_x_hydrogen,unchanged
NINTH,NINTH,15_01_02_freight::17_electricity,NINTH:NINTH:15_01_02_freight::17_electricity|NINTH:NINTH:15_03_02_freight::17_electricity|NINTH:NINTH:15_04_02_freight::17_electricity,NINTH:NINTH:15_01_02_freight::17_electricity|NINTH:NINTH:15_03_02_freight::17_electricity|NINTH:NINTH:15_04_02_freight::17_electricity,unchanged
NINTH,NINTH,15_01_domestic_air_transport::07_01_motor_gasoline,NINTH:NINTH:15_01_domestic_air_transport::07_01_motor_gasoline,NINTH:NINTH:15_01_domestic_air_transport::07_01_motor_gasoline,unchanged
NINTH,NINTH,15_01_domestic_air_transport::07_02_aviation_gasoline,NINTH:NINTH:15_01_domestic_air_transport::07_02_aviation_gasoline,NINTH:NINTH:15_01_domestic_air_transport::07_02_aviation_gasoline,unchanged
NINTH,NINTH,15_01_domestic_air_transport::07_07_gas_diesel_oil,NINTH:NINTH:15_01_domestic_air_transport::07_07_gas_diesel_oil,NINTH:NINTH:15_01_domestic_air_transport::07_07_gas_diesel_oil,unchanged
NINTH,NINTH,15_01_domestic_air_transport::07_x_jet_fuel,NINTH:NINTH:15_01_domestic_air_transport::07_x_jet_fuel,NINTH:NINTH:15_01_domestic_air_transport::07_x_jet_fuel,unchanged
NINTH,NINTH,15_01_domestic_air_transport::16_07_bio_jet_kerosene,NINTH:NINTH:15_01_domestic_air_transport::16_07_bio_jet_kerosene,NINTH:NINTH:15_01_domestic_air_transport::16_07_bio_jet_kerosene,unchanged
NINTH,NINTH,15_01_domestic_air_transport::16_x_efuel,NINTH:NINTH:15_01_domestic_air_transport::16_x_efuel,NINTH:NINTH:15_01_domestic_air_transport::16_x_efuel,unchanged
NINTH,NINTH,15_01_domestic_air_transport::16_x_hydrogen,NINTH:NINTH:15_01_domestic_air_transport::16_x_hydrogen,NINTH:NINTH:15_01_domestic_air_transport::16_x_hydrogen,unchanged
NINTH,NINTH,15_01_domestic_air_transport::17_electricity,NINTH:NINTH:15_01_domestic_air_transport::17_electricity,NINTH:NINTH:15_01_domestic_air_transport::17_electricity,unchanged
NINTH,NINTH,15_02_01_01_02_gasoline_engine::07_01_motor_gasoline,NINTH:NINTH:15_02_01_01_02_gasoline_engine::07_01_motor_gasoline,NINTH:NINTH:15_02_01_01_02_gasoline_engine::07_01_motor_gasoline,unchanged
NINTH,NINTH,15_02_01_01_02_gasoline_engine::16_05_biogasoline,NINTH:NINTH:15_02_01_01_02_gasoline_engine::16_05_biogasoline,NINTH:NINTH:15_02_01_01_02_gasoline_engine::16_05_biogasoline,unchanged
NINTH,NINTH,15_02_01_01_02_gasoline_engine::16_x_efuel,NINTH:NINTH:15_02_01_01_02_gasoline_engine::16_x_efuel,NINTH:NINTH:15_02_01_01_02_gasoline_engine::16_x_efuel,unchanged
NINTH,NINTH,15_02_01_01_03_battery_ev::17_electricity,NINTH:NINTH:15_02_01_01_03_battery_ev::17_electricity,NINTH:NINTH:15_02_01_01_03_battery_ev::17_electricity,unchanged
NINTH,NINTH,15_02_01_01_two_wheeler::07_01_motor_gasoline,NINTH:NINTH:15_02_01_01_two_wheeler::07_01_motor_gasoline,NINTH:NINTH:15_02_01_01_two_wheeler::07_01_motor_gasoline,unchanged
NINTH,NINTH,15_02_01_01_two_wheeler::16_05_biogasoline,NINTH:NINTH:15_02_01_01_two_wheeler::16_05_biogasoline,NINTH:NINTH:15_02_01_01_two_wheeler::16_05_biogasoline,unchanged
NINTH,NINTH,15_02_01_01_two_wheeler::16_x_efuel,NINTH:NINTH:15_02_01_01_two_wheeler::16_x_efuel,NINTH:NINTH:15_02_01_01_two_wheeler::16_x_efuel,unchanged
