branch_path,template_support_count,template_files,explicit_fuel_leaf_path,pair_registry_role
Demand\All demand aggregated\Biogasoline,10,leap_export_template 03_CDA_COMP_GEN.xlsx|leap_export_template 04_CHL_COMP_GEN.xlsx|leap_export_template 06_HKC_COMP_GEN.xlsx|leap_export_template 07_INA_COMP_GEN.xlsx|leap_export_template 08_JPN_COMP_GEN.xlsx|leap_export_template 09_ROK_COMP_GEN.xlsx|leap_export_template 14_PE_COMP_GEN.xlsx|leap_export_template 16_RUS_COMP_GEN.xlsx|leap_export_template 17_SGP_COMP_GEN.xlsx|leap_export_template 18_CT_COMP_GEN.xlsx,False,branch_structure_only
Demand\All demand aggregated\Bitumen,10,leap_export_template 03_CDA_COMP_GEN.xlsx|leap_export_template 04_CHL_COMP_GEN.xlsx|leap_export_template 06_HKC_COMP_GEN.xlsx|leap_export_template 07_INA_COMP_GEN.xlsx|leap_export_template 08_JPN_COMP_GEN.xlsx|leap_export_template 09_ROK_COMP_GEN.xlsx|leap_export_template 14_PE_COMP_GEN.xlsx|leap_export_template 16_RUS_COMP_GEN.xlsx|leap_export_template 17_SGP_COMP_GEN.xlsx|leap_export_template 18_CT_COMP_GEN.xlsx,False,branch_structure_only
Demand\All demand aggregated\Black liquor,10,leap_export_template 03_CDA_COMP_GEN.xlsx|leap_export_template 04_CHL_COMP_GEN.xlsx|leap_export_template 06_HKC_COMP_GEN.xlsx|leap_export_template 07_INA_COMP_GEN.xlsx|leap_export_template 08_JPN_COMP_GEN.xlsx|leap_export_template 09_ROK_COMP_GEN.xlsx|leap_export_template 14_PE_COMP_GEN.xlsx|leap_export_template 16_RUS_COMP_GEN.xlsx|leap_export_template 17_SGP_COMP_GEN.xlsx|leap_export_template 18_CT_COMP_GEN.xlsx,False,branch_structure_only
Demand\All demand aggregated\Blast furnace gas,10,leap_export_template 03_CDA_COMP_GEN.xlsx|leap_export_template 04_CHL_COMP_GEN.xlsx|leap_export_template 06_HKC_COMP_GEN.xlsx|leap_export_template 07_INA_COMP_GEN.xlsx|leap_export_template 08_JPN_COMP_GEN.xlsx|leap_export_template 09_ROK_COMP_GEN.xlsx|leap_export_template 14_PE_COMP_GEN.xlsx|leap_export_template 16_RUS_COMP_GEN.xlsx|leap_export_template 17_SGP_COMP_GEN.xlsx|leap_export_template 18_CT_COMP_GEN.xlsx,False,branch_structure_only
Demand\All demand aggregated\Buildings,11,AUS clean slate 28_07.xlsx|BD clean slate 28_07.xlsx|MAS clean slate 28_07.xlsx|MEX clean slate 28_07.xlsx|NZ clean slate 27_07.xlsx|PHL clean slate 28_07.xlsx|PNG clean slate 28_07.xlsx|PRC clean slate 28_07.xlsx|THA clean slate 28_07.xlsx|USA clean slate 28_07.xlsx|VN clean slate 28_07.xlsx,False,branch_structure_only
Demand\All demand aggregated\Buildings\Anthracite,11,AUS clean slate 28_07.xlsx|BD clean slate 28_07.xlsx|MAS clean slate 28_07.xlsx|MEX clean slate 28_07.xlsx|NZ clean slate 27_07.xlsx|PHL clean slate 28_07.xlsx|PNG clean slate 28_07.xlsx|PRC clean slate 28_07.xlsx|THA clean slate 28_07.xlsx|USA clean slate 28_07.xlsx|VN clean slate 28_07.xlsx,False,branch_structure_only
Demand\All demand aggregated\Buildings\Aviation gasoline,11,AUS clean slate 28_07.xlsx|BD clean slate 28_07.xlsx|MAS clean slate 28_07.xlsx|MEX clean slate 28_07.xlsx|NZ clean slate 27_07.xlsx|PHL clean slate 28_07.xlsx|PNG clean slate 28_07.xlsx|PRC clean slate 28_07.xlsx|THA clean slate 28_07.xlsx|USA clean slate 28_07.xlsx|VN clean slate 28_07.xlsx,False,branch_structure_only
Demand\All demand aggregated\Buildings\BKB and PB,11,AUS clean slate 28_07.xlsx|BD clean slate 28_07.xlsx|MAS clean slate 28_07.xlsx|MEX clean slate 28_07.xlsx|NZ clean slate 27_07.xlsx|PHL clean slate 28_07.xlsx|PNG clean slate 28_07.xlsx|PRC clean slate 28_07.xlsx|THA clean slate 28_07.xlsx|USA clean slate 28_07.xlsx|VN clean slate 28_07.xlsx,False,branch_structure_only
Demand\All demand aggregated\Buildings\Bagasse,11,AUS clean slate 28_07.xlsx|BD clean slate 28_07.xlsx|MAS clean slate 28_07.xlsx|MEX clean slate 28_07.xlsx|NZ clean slate 27_07.xlsx|PHL clean slate 28_07.xlsx|PNG clean slate 28_07.xlsx|PRC clean slate 28_07.xlsx|THA clean slate 28_07.xlsx|USA clean slate 28_07.xlsx|VN clean slate 28_07.xlsx,False,branch_structure_only
Demand\All demand aggregated\Buildings\Biodiesel,11,AUS clean slate 28_07.xlsx|BD clean slate 28_07.xlsx|MAS clean slate 28_07.xlsx|MEX clean slate 28_07.xlsx|NZ clean slate 27_07.xlsx|PHL clean slate 28_07.xlsx|PNG clean slate 28_07.xlsx|PRC clean slate 28_07.xlsx|THA clean slate 28_07.xlsx|USA clean slate 28_07.xlsx|VN clean slate 28_07.xlsx,False,branch_structure_only
